,Group_Cocaine,Commodity_Cocaine,Commodity_Health,Commodity_Money,Gain_Loss_Gains,Delay_Prob_Delay,Amount,IV,pids
8,0.0,-0.0069515802201026424,0.005882485507005472,-0.04039910549103202,-0.2150561518531023,0.07109037581893432,-0.022479584450847946,0.11401498926057417,TK69
9,0.0,-0.005208112999023576,0.005106161829410091,-0.05949178010342717,-0.27236832705299063,0.060955294410223175,-0.04688593385727441,-0.05020587365548791,TK69
10,0.0,-0.004406470779364309,0.0032083958615550627,-0.07297810975657411,-0.30763142578419206,0.05919674314215511,-0.06069760169092369,-0.178090102421227,TK69
11,0.0,-0.0023862771055494295,0.0031763142471267873,-0.08050801837515381,-0.3311033651949881,0.053957191616541125,-0.02657776738827333,-0.2473566492282733,TK69
12,0.0,-0.0011821874006890745,0.00302936246571429,-0.054340239619298424,-0.3373660596934437,0.05193112899879349,-0.017899932510722832,-0.27727064366892384,TK69
13,0.0,-0.001204295570410292,0.0028208520353607052,-0.024801420322122635,-0.3445060741049311,0.05131056380582778,-0.014104378967013163,-0.3045138183052825,TK69
14,0.0,0.004790257305596547,-0.016514600473589675,-0.027267859541366627,-0.16194857930802534,0.08146870736132228,0.016036529028809633,0.29573697419868095,TK69
15,0.0,-0.002193740128827069,-0.020028940796938434,-0.04993638834418513,-0.20019333100867484,0.06480693145278563,-0.009788666839763848,0.09033556423703212,TK69
16,0.0,-0.003920331705016607,-0.029078210107246878,-0.07298435805253344,-0.2516504836063006,0.05380800802022648,-0.0066552957200895334,-0.058017900257611124,TK69
17,0.0,0.0011006147845877895,-0.01426343768832558,-0.07439687376409841,-0.2666953524547647,0.05682388280113016,0.004654621533758449,-0.13992202664085854,TK69
18,0.0,0.00026085153476084063,-0.008347183747671976,-0.082566896289301,-0.3058381593365328,0.05037844751798293,0.0004946269209037276,-0.24498025802871387,TK69
19,0.0,0.0006237506407778799,-0.005688483463686032,-0.05836895647774142,-0.3137317261640307,0.048031911376456675,-0.0022692616075794007,-0.2852958057327688,TK69
20,0.0,0.0005776539344008859,-0.004957863394012393,-0.026285481931666983,-0.3213907183186474,0.04752169752804596,-6.78044832600909e-05,-0.313296054763432,TK69
21,0.0,-0.00019913066614099303,-0.025803648770791037,-0.027764375064217084,-0.19323568594739543,0.0855289641549004,-0.03064715935047741,0.27792246421554967,TK69
22,0.0,0.00401362631205183,-0.013266245497501394,-0.03876086066812881,-0.2184941661902774,0.06938671797922763,-0.01128552641844735,0.11770788305450426,TK69
23,0.0,0.0023223249388959148,-0.012511004403692618,-0.05746538687597748,-0.27560323817184834,0.05860926192616226,-0.02637855135037272,-0.04887197749173863,TK69
24,0.0,0.0021247268325619794,-0.007866449086933855,-0.0699397762938795,-0.3084880319252922,0.05798891214310884,-0.05510524165983756,-0.17081271143829965,TK69
25,0.0,0.000191566399630383,-0.0065089391704938795,-0.08040843033885,-0.3324005402145266,0.052861237743768226,-0.026013879647319233,-0.24261958620078056,TK69
26,0.0,8.515412777076053e-05,-0.0063145832168703744,-0.054975223085019925,-0.339509654155855,0.05107009836036853,-0.01934849886496587,-0.27350586459399945,TK69
27,0.0,1.400372183804277e-06,-0.0057543887851516165,-0.025498102918850227,-0.3462450000450741,0.05042724176976168,-0.015685324968712555,-0.3000443968527288,TK69
28,0.0,0.0048861658265633495,0.00654146806158902,0.02860718650748952,-0.14721153638545226,0.09546683100715891,0.026136721339053964,0.208274592215025,TK69
29,0.0,0.0020889677067569353,0.009869322633666078,0.05724799204409524,-0.15804599984167078,0.0889525950465339,0.04716632930573753,0.08742222167630917,TK69
30,0.0,0.0021860626138713126,0.009383480898625306,0.06894062408944458,-0.17796060576671896,0.08590779621961016,0.08238019766847898,0.017063872848116366,TK69
31,0.0,0.0027905160561066296,0.006029229022632059,0.08571881922316572,-0.17266219028648058,0.10260149598371089,0.13738493297261775,-0.010961374400324176,TK69
32,0.0,0.001081634274824243,0.003407546020866476,0.08728466743718288,-0.23518258368768788,0.069924366916588,0.06286513852690712,-0.18007934091725264,TK69
33,0.0,0.0008770755236880189,0.0025526154743347553,0.06914374606576425,-0.26780334694463853,0.05952820173304677,0.05818297479390339,-0.27347983807467025,TK69
34,0.0,0.0008653075466964046,0.002338563978527196,0.029120278070559495,-0.3101574333343877,0.056119233251641566,0.04501314360091084,-0.38959766454252004,TK69
35,0.0,0.005449058758537041,0.006666574721517999,0.02912051446717815,-0.14940952776234281,0.09504855552775081,0.008071070838272357,0.24805518202051358,TK69
36,0.0,0.0020607018186495065,0.010876690701951986,0.057427701696882355,-0.16698478773277609,0.08962761899356293,0.003295685208157502,0.10139781788499973,TK69
37,0.0,0.0025807260043472454,0.01209513319354129,0.07152475004695301,-0.1982529848587047,0.0844949662291478,0.009864461235117708,0.0023943767210257406,TK69
38,0.0,0.003119392818812834,0.0072619464039967285,0.08026839591287477,-0.22180599616268365,0.08442006832316222,0.0005188441709685837,-0.0899812228957028,TK69
39,0.0,0.0015684204380375742,0.0037861125674643562,0.09496043554545427,-0.25328662747523056,0.06569709977553141,0.002287113429030125,-0.18281112570885955,TK69
40,0.0,0.001004165942884748,0.002777246741331008,0.06977857210263867,-0.28575080812133863,0.05675309733034278,-0.0025721364310637104,-0.2763887089933664,TK69
41,0.0,0.0010048631444645603,0.0025129395136010476,0.02996249561317763,-0.32224255565506865,0.053693611754780414,-0.0005826789811831443,-0.37734724681834264,TK69
42,0.0,0.0015182104153816805,0.010655363083986074,0.030250915512162357,-0.1632611452052831,0.10604542294658034,-0.02403988388528606,0.25503254570388584,TK69
43,0.0,0.003750471188298332,0.007603750803490518,0.048090377800807244,-0.18385804407104295,0.0883318424485866,-0.029303710341241972,0.10788674074252978,TK69
44,0.0,0.003077328703830718,0.007471337311328218,0.07004395726024402,-0.22534913824875472,0.08662697722385321,-0.049343633785955535,-0.017725399893117656,TK69
45,0.0,0.002383138440641254,0.004684295879858999,0.0836855304486565,-0.2513302055968801,0.0827718881179962,-0.06919073502955125,-0.12060248368929345,TK69
46,0.0,0.001009368260943722,0.0033667777069454857,0.09603379871154645,-0.266530650177166,0.06964760656081415,-0.02740777588034789,-0.17341769661130702,TK69
47,0.0,0.0007483706207882912,0.0027867659014278187,0.06677688237972842,-0.29696208070715774,0.06026315915589345,-0.025441707311939798,-0.26016996146731214,TK69
