,fit,vac,mse,rmse,mae,aic,bic,model,group
0,all_RF,0.32534640398143544,0.10709046189222547,0.2737473084052199,0.3272467904995028,,,RF,all
1,cocaine_RF,0.2776201198955409,0.1131593416699648,0.2876486135612441,0.3363916492274516,,,RF,cocaine
2,control_RF,0.4318935957440344,0.08497550712917186,0.22339514673949987,0.2915055867889531,,,RF,control
3,ind_RF,0.8926683768653711,0.009150045570496734,0.0657538964819383,0.09565587054905064,,,RF,cocaine
4,ind_RF,0.8156600344450861,0.0284646470483844,0.1297035857185345,0.16871469126422986,,,RF,cocaine
5,ind_RF,0.8705818420047913,0.011686399772483402,0.06740384898853587,0.10810365290998913,,,RF,cocaine
6,ind_RF,0.834938672601661,0.03265241620413473,0.10261209977779598,0.18069979580545942,,,RF,cocaine
7,ind_RF,0.9722965327903765,0.0042559073826112185,0.034499289938555694,0.06523731587528121,,,RF,cocaine
8,ind_RF,0.9678329891163424,0.004609093243260282,0.04638665919234947,0.06789030301346638,,,RF,cocaine
9,ind_RF,0.9525388099873743,0.003927817167891434,0.04408745151256222,0.06267229984523812,,,RF,cocaine
10,ind_RF,0.9565964071374348,0.00931295305316651,0.05349592259660922,0.09650364269376835,,,RF,cocaine
11,ind_RF,0.8913523448982369,0.012306665444209428,0.08504855134252728,0.11093541113733445,,,RF,cocaine
12,ind_RF,0.8842453935289456,0.01226596511306373,0.07942854350805857,0.11075181765128611,,,RF,cocaine
13,ind_RF,0.9811116096988828,0.0035864763064721436,0.03087821261830463,0.05988719651538335,,,RF,cocaine
14,ind_RF,0.8925082346495519,0.013797884569273553,0.07343496291599592,0.11746439702851905,,,RF,cocaine
15,ind_RF,0.9999969845337624,6.920000000003319e-07,0.00030434782608718906,0.0008318653737236164,,,RF,cocaine
16,ind_RF,0.9705360058052513,0.0045864213139018405,0.04428698188087022,0.06772312244648677,,,RF,cocaine
17,ind_RF,0.8931858951062743,0.006677915296415027,0.05956529432202074,0.08171851256854243,,,RF,cocaine
18,ind_RF,0.8722416689200814,0.01702274130196721,0.07706353120883694,0.13047122787023663,,,RF,cocaine
19,ind_RF,0.9347849353825199,0.008748759813948487,0.06311134977661688,0.09353480536115145,,,RF,cocaine
20,ind_RF,0.9344605966077841,0.013535876052189557,0.06466513547564333,0.11634378390008449,,,RF,cocaine
21,ind_RF,0.9654209121076642,0.007447345542001711,0.04001796262038839,0.08629800427589106,,,RF,cocaine
22,ind_RF,0.9382351506542391,0.010498614525200949,0.06902421555433354,0.10246274701178447,,,RF,cocaine
23,ind_RF,0.8993418120051927,0.008704762496139096,0.06777521033215612,0.09329931669706427,,,RF,cocaine
24,ind_RF,0.9310875218596304,0.008592678820431812,0.06149614489267813,0.09269670339570772,,,RF,cocaine
25,ind_RF,0.8780387629313858,0.013447607914936835,0.07637780345414268,0.11596382157783881,,,RF,cocaine
26,ind_RF,0.9288733597214565,0.01048871626072259,0.06781409552808743,0.10241443384954384,,,RF,control
27,ind_RF,0.9074593307342518,0.011929542565813212,0.07330993206061232,0.10922244533891928,,,RF,control
28,ind_RF,0.8946397928228231,0.010021477656074028,0.07249559509174235,0.10010733068099473,,,RF,control
29,ind_RF,0.8460738902080549,0.0305794233061482,0.12472929597661303,0.17486973238999423,,,RF,control
30,ind_RF,0.9411191183798437,0.006713376069012685,0.05301460054260995,0.0819351943246166,,,RF,control
31,ind_RF,0.8937125503948904,0.012372768519081681,0.08015464429556984,0.11123294709339351,,,RF,control
32,ind_RF,0.9083906050599727,0.011107932057654877,0.0827672416492158,0.10539417468558154,,,RF,control
33,ind_RF,0.9123087113268529,0.011580126717488095,0.0796481107314464,0.10761099719586328,,,RF,control
34,ind_RF,0.898141697226802,0.012324483277161425,0.07182541460577058,0.1110156893288576,,,RF,control
35,ind_RF,0.9800676041817152,0.0031606163303274596,0.0294072164556311,0.05621935903518876,,,RF,control
36,ind_RF,0.9885741225585375,0.002092360185773305,0.025939776533784712,0.045742323790700715,,,RF,control
37,ind_RF,0.9785150647526913,0.0021531295128347444,0.03349318917565571,0.04640182661097238,,,RF,control
38,ind_RF,0.9681462332181135,0.004282477220933239,0.041354812889921884,0.06544063890987953,,,RF,control
39,ind_RF,0.841088150671762,0.018184155689363157,0.10100086285662406,0.13484863992403912,,,RF,control
40,ind_RF,0.9430135463619937,0.009281894671251175,0.05306722790242277,0.09634259012114618,,,RF,control
41,ind_RF,0.9399409028748036,0.007888953352575997,0.05641044054395601,0.08881978018761359,,,RF,control
42,ind_RF,0.9547183915228228,0.006374644029551979,0.05433465463460586,0.07984136790882268,,,RF,control
43,ind_RF,0.9673395241832144,0.0012263712373988098,0.02305447705411113,0.03501958362686241,,,RF,control
44,ind_RF,0.9494664111173814,0.009056649018297851,0.05152849593177922,0.09516642800009807,,,RF,control
45,ind_RF,0.9998006576936573,3.0250694641062722e-05,0.003148142517205047,0.005500063148824995,,,RF,control
46,ind_RF,0.9071654648699112,0.020335819224098595,0.08114346559697184,0.1426037139211269,,,RF,control
47,ind_RF,0.8270923499873873,0.033178994086667975,0.13305827671901163,0.1821510199989777,,,RF,control
48,ind_RF,0.940641049810381,0.0038639531557210396,0.031742662986277474,0.06216070427304568,,,RF,control
49,ind_RF,0.9764497943141592,0.004036110416058644,0.03980163516967539,0.06353038970491716,,,RF,control
