,fit,vac,mse,rmse,mae,aic,bic,model,group
4385,ind_GBR,0.9848287512274799,0.0017967343635181673,0.025496785361395026,0.04238790350463405,,,GBR,control
4386,ind_GBR,0.9972919706052963,0.0005119661262230529,0.014381177262876136,0.02262666847379554,,,GBR,control
4387,ind_GBR,0.9820143059102049,0.0016637092187654038,0.02948242566486222,0.04078859177227628,,,GBR,control
4388,ind_GBR,0.9430909425060289,0.006994314112205882,0.0565271456027372,0.08363201607163301,,,GBR,control
4389,ind_GBR,0.9225144711123787,0.008920067297431868,0.06635558254507429,0.09444610789985931,,,GBR,control
4390,ind_GBR,0.9517826383202481,0.007700690081390124,0.05890317796321342,0.08775357588947658,,,GBR,control
4391,ind_GBR,0.9371821232946758,0.009412550675117601,0.07027627638446174,0.09701830072268634,,,GBR,control
4392,ind_GBR,0.9168628287239842,0.009185825958163543,0.06265477550855061,0.09584271468486033,,,GBR,control
4393,ind_GBR,0.9726590488707553,0.00097952328541194,0.020440057856109382,0.031297336714358616,,,GBR,control
4394,ind_GBR,0.9842389641309791,0.003021529604962276,0.0364690639029985,0.054968441900442075,,,GBR,control
4395,ind_GBR,0.9995838738649582,5.217593382479327e-05,0.0041328667687398745,0.0072232910660441525,,,GBR,control
4396,ind_GBR,0.9507015923906591,0.011062457822832406,0.0715603264751763,0.10517821933666878,,,GBR,control
4397,ind_GBR,0.8586928770465464,0.022518978671153256,0.09301655294152811,0.150063248902432,,,GBR,control
4398,ind_GBR,0.9619576926435018,0.0033246065908912894,0.04330645235732957,0.05765940158284067,,,GBR,control
4399,ind_GBR,0.9477497034365205,0.009368206788333607,0.0656708307091502,0.09678949730385837,,,GBR,control
4400,all_GBR,0.3624135166275141,0.10156434646614043,0.26048968863290844,0.318691616560807,,,GBR,all
4401,cocaine_GBR,0.3303583589838496,0.10524845329888549,0.2683788926821204,0.32442018016591617,,,GBR,cocaine
4402,control_GBR,0.4174363692324954,0.08736799968091417,0.2287319544703405,0.2955807836800528,,,GBR,control
4403,ind_GBR,0.9480032390421247,0.004861343493225658,0.04206136190365904,0.06972333535643327,,,GBR,cocaine
4404,ind_GBR,0.8948968271646799,0.01718957884044816,0.09107393652368524,0.13110903416793276,,,GBR,cocaine
4405,ind_GBR,0.9177292570499521,0.008559501595834091,0.06535321874768131,0.09251757452416319,,,GBR,cocaine
4406,ind_GBR,0.8934702712378826,0.02085465198942858,0.08769578618305378,0.144411398405488,,,GBR,cocaine
4407,ind_GBR,0.9714168957828272,0.004437980147914559,0.0396902358707771,0.06661816680091519,,,GBR,cocaine
4408,ind_GBR,0.9854569280477278,0.0021093865323347336,0.030998565797270627,0.04592805822517139,,,GBR,cocaine
4409,ind_GBR,0.9745549913566854,0.0015360759187959218,0.028196738824755176,0.039192804426270926,,,GBR,cocaine
4410,ind_GBR,0.9388917136540393,0.012887981599145398,0.07582680249878514,0.11352524652756936,,,GBR,cocaine
4411,ind_GBR,0.9519926472722179,0.006987556924065926,0.0582864617755056,0.08359160797631499,,,GBR,cocaine
4412,ind_GBR,0.9680060430658617,0.0033666860641489212,0.041162999840417894,0.05802315110495914,,,GBR,cocaine
4413,ind_GBR,0.9728610469294242,0.004432830325870544,0.04512647148359929,0.0665795037971187,,,GBR,cocaine
4414,ind_GBR,0.9042102908966319,0.01205341804433418,0.07767385583904157,0.1097880596619422,,,GBR,cocaine
4415,ind_GBR,0.9999619842576056,8.463509848826288e-06,0.002064533637496576,0.0029092112073251554,,,GBR,cocaine
4416,ind_GBR,0.9849612620577528,0.002068766698898111,0.02686021540265636,0.045483697067170245,,,GBR,cocaine
4417,ind_GBR,0.9843990108847511,0.0010669738431735563,0.024557579835664492,0.03266456555923492,,,GBR,cocaine
4418,ind_GBR,0.7985824275800516,0.025710171678411487,0.09912945047446636,0.16034391687373578,,,GBR,cocaine
4419,ind_GBR,0.9723273808897167,0.004252522285841844,0.04553217161413553,0.06521136623198324,,,GBR,cocaine
4420,ind_GBR,0.9142134696589245,0.017251419144235818,0.0876605383853549,0.1313446578442984,,,GBR,cocaine
4421,ind_GBR,0.9957354806104479,0.0008314360084428139,0.020275857323312826,0.02883463210174206,,,GBR,cocaine
4422,ind_GBR,0.871946163141643,0.020439913281647723,0.09717100339963643,0.14296822472720197,,,GBR,cocaine
4423,ind_GBR,0.9510765178795912,0.004130484653608187,0.04359990212817946,0.06426884668023992,,,GBR,cocaine
4424,ind_GBR,0.9413273521982933,0.006864721704446376,0.05783072165637136,0.08285361612172625,,,GBR,cocaine
4425,ind_GBR,0.953387039184272,0.005231591395886285,0.04934580153540654,0.07232974074256236,,,GBR,cocaine
4426,ind_GBR,0.9620669226102918,0.005106066396529743,0.04659141079203812,0.07145674493376915,,,GBR,control
4427,ind_GBR,0.9652479302785237,0.00412292377029866,0.041739057528798765,0.0642099974326324,,,GBR,control
4428,ind_GBR,0.948454973690192,0.004418898465120445,0.04761276695071234,0.06647479571326598,,,GBR,control
4429,ind_GBR,0.8133445842558578,0.0363405044086273,0.14958449764605897,0.19063185570262725,,,GBR,control
4430,ind_GBR,0.9534246971798704,0.0052508388409726915,0.053834696712173793,0.07246267205239323,,,GBR,control
4431,ind_GBR,0.9879777982361004,0.0016166763436512022,0.023959144867547355,0.04020791394304363,,,GBR,control
4432,ind_GBR,0.9113840577755814,0.008894415992047253,0.05818473480277329,0.0943102114940225,,,GBR,control
4433,ind_GBR,0.970248190623755,0.004197685873317522,0.04583765047400121,0.06478955064914034,,,GBR,control
4434,ind_GBR,0.9450773755110677,0.007657102860105702,0.061250909105710294,0.08750487335060661,,,GBR,control
4435,ind_GBR,0.9729810570325618,0.0037688352081715784,0.037185594663678934,0.06139083977411922,,,GBR,control
4436,ind_GBR,0.9853934996675214,0.002540014846320568,0.03815155045607544,0.05039855996276647,,,GBR,control
4437,ind_GBR,0.9636928619149099,0.0031522623139169266,0.03759902156602768,0.056145011478464645,,,GBR,control
4438,ind_GBR,0.9639506366518529,0.004969050527355919,0.04444919979741708,0.07049149258850972,,,GBR,control
4439,ind_GBR,0.8975273583156251,0.011063058561421013,0.06738613383915508,0.10518107511059684,,,GBR,control
4440,ind_GBR,0.9540613592581323,0.008481771347444125,0.06662663338567058,0.09209653276559397,,,GBR,control
