,fit,vac,mse,rmse,mae,aic,bic,model,group
0,all_ME,-0.4996855431368046,0.23679335350588487,0.48661417314530087,0.4105450534985204,-6740.261313913386,-6688.635811021863,ME,all
1,all_ME,-0.5931434422507824,0.252764458088549,0.5027568578234901,0.4218392785617517,-6434.143959913283,-6382.51845702176,ME,all
2,all_ME,-0.5401896805682915,0.2401885423334845,0.4900903409918262,0.41297631341169727,-6673.492722993138,-6621.867220101615,ME,all
3,all_ME,-0.5484578226829735,0.24456046778879637,0.49453055293762826,0.4198113310809089,-6588.892709647355,-6537.267206755832,ME,all
4,all_ME,-0.5450974986729291,0.24491063511066416,0.4948844664269269,0.41729690606766084,-6582.1822623502485,-6530.5567594587255,ME,all
5,all_ME,-0.5660576258082339,0.2432043937438672,0.4931575749634869,0.41424533681170894,-6614.970863933027,-6563.3453610415045,ME,all
6,all_ME,-0.5253759110519691,0.2433580005160508,0.49331328840408384,0.4156329120370801,-6612.009616643991,-6560.384113752468,ME,all
7,all_ME,-0.5932387799519163,0.25041789586311375,0.5004177213719692,0.4216709909463213,-6477.887372345971,-6426.261869454448,ME,all
8,all_ME,-0.5283002282485108,0.24175928103538344,0.4916902287369391,0.4146489400230015,-6642.92181785271,-6591.296314961187,ME,all
9,all_ME,-0.5147992952815297,0.2371306694797524,0.4869606446929283,0.4129003716974017,-6733.585086890261,-6681.959583998738,ME,all
10,all_ME,-0.676280324332788,0.2658220577105725,0.5155793418190575,0.4343345274069905,-6197.913023624821,-6146.287520733298,ME,all
11,all_ME,-0.42532944951217777,0.22471841056148115,0.4740447347682296,0.40039131294676195,-6985.734623474271,-6934.109120582748,ME,all
12,all_ME,-0.5801072392015585,0.24885398565742864,0.49885266928966976,0.4196421005184032,-6507.26921068024,-6455.643707788717,ME,all
13,all_ME,-0.5800365200015183,0.2484700378983607,0.49846768992419227,0.41754695386324486,-6514.510828870778,-6462.885325979255,ME,all
14,all_ME,-0.5367936665966875,0.23790344228605348,0.48775346465817493,0.4142333377081609,-6718.325939941028,-6666.700437049505,ME,all
15,all_ME,-0.37826931107386663,0.21824863081919216,0.46717087967808113,0.3935756616069061,-7122.744477770987,-7071.118974879464,ME,all
16,all_ME,-0.6517324990496771,0.2596147853983852,0.5095240773490348,0.427971916816991,-6308.729240391288,-6257.103737499765,ME,all
17,all_ME,-0.5451367176204336,0.24563247277016645,0.4956132290104517,0.4183643291557249,-6568.379515915939,-6516.754013024416,ME,all
18,all_ME,-0.47322915630873363,0.2334644426471705,0.48318158351407653,0.40941490752558696,-6806.662563823609,-6755.037060932086,ME,all
19,all_ME,-0.6154981842877156,0.25347821036445445,0.5034661958507785,0.42393561331577556,-6420.919075482638,-6369.293572591115,ME,all
20,all_ME,-0.418271301732394,0.22380783451447428,0.47308332724211943,0.400356345370887,-7004.777466895251,-6953.151964003728,ME,all
21,all_ME,-0.5544635942941807,0.24449540251676324,0.4944647636755962,0.41696137455188054,-6590.140649386613,-6538.51514649509,ME,all
22,all_ME,-0.622921203491152,0.25476747295739294,0.5047449583278598,0.4232996839501736,-6397.124856548741,-6345.499353657218,ME,all
23,all_ME,-0.5546567467510124,0.24961516533821665,0.49961501712640366,0.4232086107765366,-6492.945614242626,-6441.320111351103,ME,all
24,all_ME,-0.502183762146879,0.23945169685621673,0.48933801901775087,0.4115405121966981,-6687.902723341962,-6636.277220450439,ME,all
25,all_ME,-0.5458947506580851,0.24559892807930034,0.49557938625340375,0.4164002591778918,-6569.020047446027,-6517.394544554504,ME,all
26,all_ME,-0.7335798110239362,0.27557560969695405,0.5249529595087107,0.4412586991522207,-6028.909308175823,-5977.2838052843,ME,all
27,all_ME,-0.58758244471163,0.2506549952173985,0.5006545667597555,0.422739339596903,-6473.448912096444,-6421.823409204921,ME,all
28,all_ME,-0.6032985972246827,0.25332049311409494,0.5033095400586949,0.423836348978261,-6423.838159225308,-6372.212656333785,ME,all
29,all_ME,-0.5829634519169391,0.25039267349513017,0.5003925194236323,0.4199708037741319,-6478.35977813443,-6426.734275242907,ME,all
