,fit,vac,mse,rmse,mae,aic,bic,model,group
4506,ind_ABR,0.8131930901106685,0.04141028153863553,0.14800317874448365,0.20349516342811574,,,ABR,cocaine
4507,ind_ABR,0.9533141582874028,0.007584748338897242,0.0645599348120643,0.08709046066531766,,,ABR,cocaine
4508,ind_ABR,0.8797955493665538,0.016348425281999767,0.1162094192943632,0.12786096074251815,,,ABR,cocaine
4509,ind_ABR,0.8610902434723073,0.009945015271942985,0.0855271004262052,0.09972469740211291,,,ABR,cocaine
4510,ind_ABR,0.8635049321307708,0.02847479054348802,0.12042678811464845,0.1687447496768063,,,ABR,cocaine
4511,ind_ABR,0.6402603703930476,0.04305577283705406,0.17355688224980392,0.2074988502065832,,,ABR,cocaine
4512,ind_ABR,0.7596527754724416,0.029500419599148585,0.142249545432335,0.17175686186918002,,,ABR,cocaine
4513,ind_ABR,0.8738292443037113,0.021725795855160594,0.12144490650711463,0.14739672945883364,,,ABR,cocaine
4514,ind_ABR,0.7717903177956161,0.0274281856826045,0.14299778851645392,0.16561456965679228,,,ABR,cocaine
4515,ind_ABR,0.9997176070270577,6.383606644373061e-05,0.005732327713694107,0.007989747583230062,,,ABR,cocaine
4516,ind_ABR,0.9389220978318564,0.008590520317388025,0.07372909432133379,0.09268505983915652,,,ABR,cocaine
4517,ind_ABR,0.8365179930723585,0.012388418132887899,0.09715004269333144,0.1113032709891668,,,ABR,cocaine
4518,ind_ABR,0.457897169729212,0.06546174795464368,0.17954375631972558,0.2558549353728469,,,ABR,cocaine
4519,ind_ABR,0.8701001314572364,0.018809494690394002,0.12124861281401283,0.13714771121092034,,,ABR,cocaine
4520,ind_ABR,0.7925097453615337,0.0438492598889336,0.14266523536501655,0.2094021487209088,,,ABR,cocaine
4521,ind_ABR,0.8954440900081606,0.0231046324044783,0.11871016920741488,0.15200208026365397,,,ABR,cocaine
4522,ind_ABR,0.44129612806831375,0.06926440951363723,0.23863155974287725,0.26318132440132835,,,ABR,cocaine
4523,ind_ABR,0.843427417999533,0.015701249117325355,0.10812652339339288,0.12530462528304911,,,ABR,cocaine
4524,ind_ABR,0.8567338718051772,0.01900019432241024,0.10939930878092022,0.13784119240056739,,,ABR,cocaine
4525,ind_ABR,0.7158123042608286,0.029914333559535673,0.14319783214899434,0.17295760624943812,,,ABR,cocaine
4526,ind_ABR,0.7263219387779387,0.03277635170222828,0.15592665993789884,0.18104240305030278,,,ABR,control
4527,ind_ABR,0.6957864733571846,0.040984141638390995,0.16541702117902132,0.20244540409303194,,,ABR,control
4528,ind_ABR,0.7667002737222545,0.01953383957030432,0.12825603979330993,0.13976351301503664,,,ABR,control
4529,ind_ABR,0.652998278346826,0.06749541118803112,0.19943173027287364,0.2597987898124838,,,ABR,control
4530,ind_ABR,0.8069172711585945,0.022255020821333776,0.12926722625961792,0.14918116778378487,,,ABR,control
4531,ind_ABR,0.8847076942995216,0.014416381637624999,0.09981346061131681,0.12006823742199682,,,ABR,control
4532,ind_ABR,0.6299254655407074,0.04615241202963052,0.17336706114345274,0.2148311244434347,,,ABR,control
4533,ind_ABR,0.8768749498339846,0.018497149315866716,0.11711291386409732,0.13600422536034207,,,ABR,control
4534,ind_ABR,0.6715547443910954,0.04335188764493937,0.1720689802135645,0.2082111611920441,,,ABR,control
4535,ind_ABR,0.8841348147214618,0.01426879630983425,0.06043203976163857,0.1194520669969099,,,ABR,control
4536,ind_ABR,0.9059905370153747,0.017190946439220534,0.09690967414870695,0.1311142495658673,,,ABR,control
4537,ind_ABR,0.8229223223135138,0.01725071122145553,0.10885090585776555,0.13134196291153688,,,ABR,control
4538,ind_ABR,0.770633664831131,0.025323959305277397,0.12199720341484425,0.15913503481407668,,,ABR,control
4539,ind_ABR,0.8231587048783879,0.02106477541058539,0.12710649896370935,0.14513709178078976,,,ABR,control
4540,ind_ABR,0.7911877922262287,0.035948397294132836,0.15529476453201038,0.18960062577463407,,,ABR,control
4541,ind_ABR,0.6323443704763342,0.055247714894677134,0.1871260042445924,0.23504832459449085,,,ABR,control
4542,ind_ABR,0.8586509800220206,0.01394527661004378,0.10309879286263737,0.11809012071313917,,,ABR,control
4543,ind_ABR,0.8780342022245451,0.004073628373908726,0.050568182567560266,0.06382498236512664,,,ABR,control
4544,ind_ABR,0.8485027925036966,0.028437359671369622,0.12362386852447833,0.16863380346588172,,,ABR,control
4545,ind_ABR,0.9982157727214171,0.00020705952410630897,0.008156171066327088,0.014389563026941053,,,ABR,control
4546,ind_ABR,0.6731589357498118,0.07332368585284088,0.22984659479420172,0.2707834667272743,,,ABR,control
4547,ind_ABR,0.37809050274387523,0.12663949682754688,0.22988507877664516,0.35586443602521856,,,ABR,control
4548,ind_ABR,0.852646316393636,0.01359178860520688,0.07952803416851521,0.11658382651640355,,,ABR,control
4549,ind_ABR,0.8631884005532333,0.02226302792243232,0.11488117100897971,0.1492080022064243,,,ABR,control
4550,all_ABR,0.22939667552809295,0.12169143232908701,0.3107663926176141,0.3488429909416083,,,ABR,all
4551,cocaine_ABR,0.19810157232856873,0.12343211484008877,0.31336220698431094,0.35132906916463486,,,ABR,cocaine
4552,control_ABR,0.31614423623186405,0.10500556794649445,0.28680633017604124,0.32404562633446304,,,ABR,control
4553,ind_ABR,0.7770972883598158,0.020424870593251362,0.1236732059398963,0.14291560654194266,,,ABR,cocaine
4554,ind_ABR,0.6607788425604362,0.05738650088565644,0.20270385021961135,0.23955479725035028,,,ABR,cocaine
4555,ind_ABR,0.8361113694988068,0.017597813305034415,0.10977795782000903,0.1326567499414727,,,ABR,cocaine
4556,ind_ABR,0.9021843145620645,0.020626631256161248,0.07598969494273855,0.14361974535613564,,,ABR,cocaine
4557,ind_ABR,0.9130237329348972,0.013491384016682604,0.08764051013447788,0.11615241717968078,,,ABR,cocaine
4558,ind_ABR,0.8803684310772185,0.017542275580817522,0.11051561039906024,0.13244725584479855,,,ABR,cocaine
4559,ind_ABR,0.8562170871823522,0.009703365119370535,0.08180953904917004,0.09850566034178206,,,ABR,cocaine
4560,ind_ABR,0.7426050672434128,0.051933222389263775,0.15754213469198072,0.2278886183846481,,,ABR,cocaine
4561,ind_ABR,0.7450319226143738,0.0338484003450367,0.15483330331765094,0.18397934760466106,,,ABR,cocaine
4562,ind_ABR,0.8752927091913972,0.011562544522732728,0.09247181711875778,0.10752927286433554,,,ABR,cocaine
